Place,Player,Time (seconds),Date Submitted
126,PhoenixAUS,2938,2023-09-26T03:47:59Z
126,Seba54,2938,2024-03-11T04:44:56Z
126,m0m0,2938,2024-06-20T04:26:37Z
126,cjrokokomero,2938,2025-06-02T11:34:42Z
131,beeve,2939,2025-06-29T13:27:46Z
132,Geenix,2940,2025-11-05T06:24:05Z
133,Haliinen,2941,2015-06-05T01:08:04Z
133,Creator_Destroyer,2941,2021-04-14T09:43:13Z
135,laty_,2943,2025-08-05T10:37:37Z
137,Blakeo2,2946,2023-01-15T18:30:18Z
138,luke994,2947,2015-12-18T23:38:02Z
139,Moose,2948,2022-03-01T23:20:58Z
139,oatslice,2948,2023-06-21T22:14:03Z
141,chubby,2949,2020-05-15T22:09:13Z
142,RockChalk19,2950,2019-02-19T04:44:02Z
143,groovy31,2951,2018-12-04T16:42:21Z
144,OkamiBW,2952,2020-08-17T09:36:05Z
144,Tag609,2952,2022-12-19T16:12:04Z
144,ShaDowSPoweR,2952,2023-01-08T17:09:45Z
147,eleesuh,2953,2023-06-23T02:59:25Z
147,mAf1sss,2953,2025-05-18T09:35:50Z
149,jane_dair,2954,2021-10-19T08:15:46Z
150,ClementLeBro,2955,2021-11-07T03:52:16Z
150,HeroSuperman1,2955,2022-08-08T07:14:50Z
150,turara32767,2955,2022-09-09T16:14:15Z
150,PegiTheLoca,2955,2023-08-30T17:27:02Z
150,inferno676,2955,2025-07-21T07:33:27Z
155,BeastAssassin67,2956,2023-07-03T19:26:44Z
156,Drogie,2958,2019-03-21T23:54:43Z
156,Schnoz64,2958,2022-03-07T23:22:41Z
156,Avatar,2958,2025-02-01T14:49:44Z
159,Johnny3Oak,2959,2023-03-26T13:06:37Z
159,FleetingAzure,2959,2023-07-29T06:53:07Z
159,AJLane,2959,2025-08-20T09:23:10Z
159,Susano130,2959,2025-10-24T11:54:28Z
163,ZDeztroyerz,2960,2016-01-19T05:54:46Z
164,nero_x2,2962,2015-01-01T17:41:54Z
164,amsixx,2962,2022-07-04T23:18:41Z
164,rig_,2962,2025-04-20T02:42:37Z
167,joeys64,2964,2015-08-23T15:19:59Z
167,markinator99,2964,2023-11-13T19:29:03Z
169,theorylocked,2965,2019-02-19T20:36:04Z
169,mercredi,2965,2022-10-22T07:03:59Z
169,ErikaSunrose,2965,2023-06-23T07:38:29Z
172,ThatDrunkenDwarf,2967,2021-10-18T07:07:55Z
173,Custom,2968,2016-12-18T05:55:47Z
174,dista,2969,2025-10-31T06:00:21Z
175,TwitchName,2970,2022-05-24T03:58:49Z
176,Instinct64,2971,2024-01-22T06:35:16Z
176,Elva,2971,2024-05-14T14:33:42Z
176,GrievousD2,2971,2025-05-03T09:41:46Z
179,NathanCarter,2972,2025-01-17T22:24:40Z
180,akki,2973,2018-07-01T12:23:37Z
180,SonicFerrari,2973,2019-06-20T07:01:03Z
180,ZeusSM64,2973,2021-11-13T05:42:05Z
183,ClintStevens,2974,2020-11-26T02:43:03Z
183,SeanRaider,2974,2020-10-17T22:58:48Z
183,FireGoesFast,2974,2022-08-19T06:15:36Z
183,gamiru,2974,2023-04-25T15:13:55Z
187,druz,2975,2025-07-28T21:03:09Z
188,Waz,2976,2015-11-05T23:04:39Z
188,ANYUJIN,2976,2022-01-02T22:50:07Z
188,meephs,2976,2025-08-17T05:41:42Z
188,ded_lej,2976,2025-08-19T02:29:22Z
192,Tama,2978,2019-10-01T15:16:09Z
192,taylor3311,2978,2021-02-11T05:56:57Z
192,Sabxander,2978,2023-08-26T21:39:23Z
192,shikibi_hiiro,2978,2024-08-13T12:48:54Z
192,Marco,2978,2025-02-19T06:25:48Z
197,JMill,2979,2019-06-05T06:41:40Z
197,Yale,2979,2019-12-16T03:28:27Z
197,Smaugy,2979,2019-12-15T16:03:33Z
197,mdgrav,2979,2024-04-05T01:49:54Z
201,Skaredogged97,2980,2016-09-11T19:31:39Z
201,SuperViperT302,2980,2019-08-21T22:26:02Z
201,protoman5,2980,2019-09-30T13:26:50Z
201,Gerbiez,2980,2021-01-04T07:07:01Z
205,Thomkar,2981,2021-06-14T14:41:09Z
206,dinkyslinky,2982,2021-03-17T08:45:10Z
206,Alooful,2982,2023-06-05T02:44:53Z
209,josiee,2983,2019-06-15T23:13:34Z
209,AppleJuice,2983,2020-08-17T12:25:41Z
211,Doopssb,2984,2021-07-18T09:17:00Z
211,RONC3NA,2984,2024-08-02T05:14:25Z
213,pete,2985,2023-01-04T03:07:29Z
214,Taki,2986,2023-07-19T17:07:40Z
214,PsioNick,2986,2024-08-28T05:24:36Z
214,NewmanBeatbox,2986,2024-12-17T03:38:40Z
214,Vadien,2986,2025-08-24T20:00:49Z
219,ZachTunes,2987,2023-08-14T11:18:49Z
220,tomkabs,2988,2021-07-09T20:04:08Z
220,treybordo,2988,2022-11-10T22:19:50Z
223,GUTOA,2989,
223,timlittlefree,2989,2018-09-18T10:55:37Z
223,Apeduden,2989,2025-03-29T03:39:03Z
226,Heisenburger,2990,2018-11-29T00:54:12Z
226,Zinsch,2990,2024-09-22T11:10:08Z
228,m_vitor,2992,2019-05-30T08:24:36Z
228,MaxxxMurphy,2992,2020-12-23T11:52:53Z
228,Karyno,2992,2024-03-08T06:05:43Z
231,thags15,2993,2020-10-24T02:21:37Z
231,LowAppeal,2993,2024-07-07T06:27:10Z
231,King_bay,2993,2025-04-17T14:27:24Z
231,ClifforddTBRD,2993,2025-09-11T04:20:17Z
235,gohanie,2995,2015-12-30T06:43:47Z
235,CartoonBuffoon,2995,2019-08-30T05:23:19Z
235,ReallyBadDK,2995,2022-05-17T08:44:08Z
235,oogapooki,2995,2024-10-01T05:06:30Z
235,TNewm2215,2995,2024-12-27T23:42:04Z
235,jigy5000,2995,2025-04-05T06:44:17Z
235,sazan,2995,2025-09-01T05:53:17Z
243,EcCuardo,2996,2025-03-15T03:05:30Z
244,xerint,2997,2022-01-22T14:16:25Z
244,MrFroggy,2997,2024-03-01T18:07:14Z
244,Tit0MEX_64,2997,2025-01-28T07:09:09Z
244,AbUnderscored,2997,2025-08-18T20:44:33Z
248,Gravydos,2998,2021-07-09T07:31:01Z
248,scoagogo,2998,2024-07-28T21:52:36Z
248,Zaikenator,2998,2025-03-08T01:01:21Z
251,SoloQ,2999,2020-05-16T02:35:50Z
251,WaterproofTeabag_,2999,2021-10-19T15:12:41Z
251,popesquidward,2999,2021-12-20T23:09:35Z
251,Dezod,2999,2022-11-24T22:50:58Z
251,Fizz,2999,2024-08-14T06:53:07Z
251,TheBest2272,2999,2025-01-15T20:30:20Z
257,dongerduck,3000,2021-01-30T07:53:42Z
257,Snepy,3000,2024-06-18T04:51:18Z
259,Autonachick,3001,2025-10-28T11:25:03Z
260,Invisible_hole,3002,2022-12-09T22:24:13Z
261,Alkobakknarko,3004,2017-10-22T00:56:37Z
262,bebopbandit,3005,2020-07-30T04:03:49Z
262,nahobox,3005,2025-09-03T00:20:29Z
264,Leproxy,3006,2024-07-13T09:31:12Z
265,Zoro64,3008,2021-08-12T00:00:17Z
265,egaSyeliR,3008,2022-06-13T22:30:41Z
265,Bentengaming,3008,2022-08-07T04:03:31Z
268,Super_Dejan,3009,2025-10-24T22:35:08Z
269,Poke,3010,2025-01-04T22:14:32Z
270,Nicolascs83,3011,2024-03-21T20:38:01Z
270,Jojo,3011,2024-06-23T20:54:50Z
270,jepega,3011,2025-07-02T20:38:23Z
273,TedFeds,3013,2024-01-19T03:31:25Z
273,machochin,3013,2024-06-15T01:33:09Z
275,Gemini_,3017,2025-08-12T10:50:46Z
276,Heyzeus,3019,2023-10-18T02:47:39Z
276,Rodillo,3019,2024-03-08T13:57:12Z
279,pobo,3020,
279,imchach,3020,2025-04-23T20:03:19Z
281,otakung8,3022,2025-05-25T03:38:05Z
282,Kyrette,3023,2021-06-03T21:04:26Z
282,Luco,3023,2022-08-18T09:26:29Z
284,Copitz,3024,2018-08-21T02:46:01Z
284,NicV,3024,2021-10-28T21:31:31Z
286,Menstilo,3025,2022-08-31T17:59:59Z
286,Squeex,3025,2022-12-27T17:55:11Z
288,5upamayne,3026,2023-08-30T16:08:02Z
288,Fuzzyness,3026,2020-08-27T17:52:59Z
290,Salemba,3027,2024-04-19T16:24:51Z
291,julien_,3028,2023-02-14T12:46:22Z
292,alaris,3029,2022-06-27T06:14:52Z
293,RetroRuns,3030,2022-05-11T23:59:14Z
293,LxqZach,3030,2023-06-07T10:25:21Z
293,Seceon,3030,2024-06-07T22:52:09Z
293,tiles_,3030,2025-01-08T13:23:39Z
297,max25,3031,2020-07-13T14:05:13Z
298,Jolteon92,3032,2015-06-29T23:40:35Z
298,agge40,3032,2025-07-07T14:23:05Z
300,Nonag,3033,2023-07-09T17:23:32Z
300,Kirukiru,3033,2025-03-17T19:49:50Z
300,FelizAvis,3033,2025-08-18T10:49:36Z
303,Noteka,3034,2023-03-18T10:28:30Z
303,P_Luizon,3034,2025-05-17T07:41:04Z
306,nidamario,3037,2021-11-28T18:04:31Z
306,ChiaraSM64,3037,2025-04-26T13:54:48Z
306,jacobo,3037,2025-08-10T04:05:40Z
306,PerMitzi,3037,2025-10-10T02:00:09Z
311,Squirr3I,3038,2019-01-11T11:25:42Z
311,Freelatas,3038,2024-11-28T15:10:30Z
313,Butterlord,3039,2021-01-28T23:51:52Z
313,Majoog,3039,2022-01-26T15:07:59Z
313,Semaa,3039,2024-02-26T21:16:06Z
313,JoeyBagODonuts,3039,2025-05-10T05:56:11Z
313,YogoC,3039,2025-09-08T01:17:30Z
318,Gregobyte,3040,2021-12-21T05:51:36Z
318,Toufool,3040,2023-09-27T21:31:45Z
318,packerzilla,3040,2023-07-13T18:25:09Z
321,Lusion,3041,2021-06-22T00:34:08Z
321,franchewbacca,3041,2024-01-12T07:36:55Z
323,Beuca,3044,2019-03-01T12:45:27Z
323,Tabbyztorm,3044,2020-10-31T04:16:37Z
323,LuminanceLumi,3044,2025-07-22T06:01:36Z
323,praxis,3044,2025-07-28T06:57:24Z
327,LiamPlayZelda,3045,2024-07-15T21:00:23Z
327,k8ehops,3045,2025-03-11T21:58:16Z
329,JumboJolt,3046,2025-08-13T00:08:30Z
330,Wolfovis,3048,2024-07-30T21:51:01Z
330,nicov2k,3048,2024-09-03T17:06:29Z
330,Voodle,3048,2025-08-16T10:09:39Z
330,Linkarf,3048,2025-08-21T04:40:03Z
334,Jaybomb,3049,2021-02-01T01:09:00Z
334,GHDEVIL666,3049,2023-02-03T12:46:00Z
334,madware,3049,2023-07-18T01:31:24Z
337,Louis64,3050,2025-05-10T00:32:50Z
338,Roseatia,3051,2024-01-28T01:14:50Z
340,JDee,3052,2023-06-10T23:10:44Z
341,Redd,3053,2022-10-06T07:32:58Z
341,VonJim,3053,2023-03-27T23:33:28Z
341,Phoenix_Speedruns,3053,2025-08-09T15:35:32Z
341,FlamingFishsticks,3053,2025-08-13T05:48:47Z
341,CpKaka,3053,
346,sicko,3054,2025-03-01T14:58:10Z
346,quiilucru,3054,2018-04-09T17:32:33Z
346,Fruitinater,3054,2021-12-21T22:53:33Z
346,carrickdan,3054,2022-06-28T15:10:26Z
346,Famin,3054,2023-07-15T18:13:38Z
351,MrDasho,3055,2022-11-29T03:03:34Z
352,Holahu,3056,
352,Shy,3056,2017-03-28T18:04:08Z
352,incha4416,3056,2022-01-29T10:37:19Z
352,3l3tric,3056,2022-05-07T16:58:59Z
352,con_,3056,2023-09-02T16:35:31Z
357,nobori56,3057,2023-09-27T01:11:25Z
358,Birdman20,3058,2025-04-10T02:26:40Z
359,NawidNation,3059,2020-06-24T00:18:31Z
360,tonaltux,3060,2023-07-20T09:38:23Z
360,MeepJeep,3060,2024-07-31T09:37:25Z
360,flow,3060,2025-06-22T21:07:01Z
363,Muimania,3061,2018-11-03T00:46:44Z
364,AndyBoi1996,3062,2025-06-16T03:09:46Z
364,Kudo,3062,2025-08-10T17:49:46Z
366,Noizeeh,3064,
366,Hakasay,3064,2020-09-08T04:24:03Z
366,Mapiz,3064,2025-10-18T06:52:52Z
370,JimmyBob,3067,2025-01-30T03:22:26Z
371,Jalapiñecone,3068,2022-02-17T05:02:51Z
371,hector,3068,2024-08-10T20:37:36Z
373,Joshua_iz_drunk,3069,2022-11-21T13:50:09Z
374,arwyMilo,3070,2018-01-28T10:14:12Z
374,RegiFlame,3070,2020-06-12T10:06:51Z
374,YonaFawn,3070,2025-07-06T21:17:05Z
378,Erthide,3071,2023-12-02T05:55:18Z
380,zg53,3072,2023-11-18T03:42:54Z
380,Ce_Mec9,3072,2023-12-14T23:06:28Z
382,Kaug,3074,2024-10-29T09:58:58Z
383,Vorago,3075,2019-01-26T04:21:14Z
383,Lucinovic,3075,2023-07-24T21:58:28Z
385,trevor107,3076,2016-06-07T04:44:03Z
385,Hafus,3076,2019-08-17T08:21:43Z
385,SonicGordon6,3076,2022-07-17T04:43:31Z
388,GeoGringo,3077,2025-08-11T00:53:02Z
389,igreil,3078,
389,xandrey,3078,2023-08-01T02:42:22Z
389,PrinterWontWork,3078,2025-07-15T16:11:29Z
393,NyZ,3080,
393,cookincat,3080,2023-06-04T03:24:39Z
396,zalgo,3081,
