Place,Player,Time (seconds),Date Submitted
130,Gerbiez,6248,2023-04-27T14:37:39Z
132,Susano130,6253,2024-12-01T13:41:13Z
133,JMill,6256,2019-11-29T19:45:30Z
134,Fizz,6260,2023-12-13T20:49:44Z
135,Sunnard,6262,2024-07-23T23:06:02Z
136,Dackage,6265,2025-09-05T13:45:45Z
137,bebopbandit,6268,2020-07-10T15:49:00Z
139,shikibi_hiiro,6272,2025-10-24T11:12:25Z
140,packerzilla,6280,2024-07-08T19:18:11Z
140,FleetingAzure,6280,2025-03-25T13:34:53Z
142,Zaikenator,6282,2025-04-08T19:02:28Z
143,Schnoz64,6283,2021-09-18T23:59:49Z
143,PKT_S,6283,2022-04-25T08:14:18Z
145,gohanie,6285,2015-04-18T05:23:37Z
145,Mitagi,6285,2017-05-20T11:05:15Z
147,NewmanBeatbox,6287,2024-12-11T02:29:49Z
147,ricefarm41,6287,2025-06-17T06:52:56Z
149,SubmarineCpt,6288,2024-07-04T17:36:17Z
150,tanepota,6289,2023-02-05T16:05:12Z
152,luke994,6296,2014-12-24T07:05:00Z
152,Vadien,6296,2025-02-28T23:19:31Z
155,nidamario,6306,2022-06-02T12:13:57Z
156,Butterlord,6309,2021-02-04T03:54:41Z
157,FireGoesFast,6310,2022-11-17T09:36:15Z
158,BigCheese,6316,2024-08-06T23:50:57Z
159,Animazism,6317,2017-08-27T21:54:38Z
160,Alkobakknarko,6318,2017-04-27T00:25:12Z
161,GrievousD2,6322,2025-11-25T08:01:21Z
162,inferno676,6326,2024-06-22T04:28:31Z
163,Noizeeh,6327,
164,protoman5,6328,2019-09-01T09:01:26Z
165,dinkyslinky,6329,2021-12-11T16:37:57Z
165,Maosfx,6329,2024-07-24T23:57:27Z
167,m_vitor,6331,2020-01-10T22:59:47Z
167,Darrow25,6331,2020-09-29T18:40:47Z
169,Seba54,6334,2023-01-21T05:19:30Z
170,SuperViperT302,6337,2020-09-22T05:04:17Z
171,bromario28,6338,2021-09-26T20:39:50Z
172,Biinny,6339,2019-05-06T05:51:07Z
173,incha4416,6349,2023-01-29T07:21:11Z
175,Semaa,6354,2024-03-24T17:57:56Z
176,laty_,6356,2021-10-30T04:33:22Z
177,amsixx,6357,2023-06-18T19:32:51Z
178,Beuca,6358,2019-06-26T10:45:08Z
178,Yale,6358,2023-08-03T23:36:31Z
181,Elva,6360,2022-11-30T16:12:27Z
182,ded_lej,6364,2025-09-06T07:01:14Z
183,Creator_Destroyer,6367,2021-04-12T07:25:37Z
184,Gana64,6368,2017-06-09T07:15:40Z
184,arwyMilo,6368,2018-03-13T05:19:13Z
186,ZeusSM64,6369,2022-07-15T00:36:03Z
187,MrFroggy,6375,2025-08-18T02:12:45Z
188,ClintStevens,6376,2022-07-18T19:45:25Z
189,josiee,6377,2019-07-12T02:41:40Z
190,ZDeztroyerz,6379,2017-08-28T03:13:12Z
190,ErikaSunrose,6379,2023-06-17T09:33:56Z
192,OkamiBW,6380,2021-06-03T16:35:00Z
193,collins_vg,6381,2024-01-29T04:35:56Z
194,Dezod,6384,2023-01-20T00:56:59Z
195,Gravydos,6386,2023-03-20T14:52:55Z
196,alaris,6393,2022-06-20T05:39:18Z
196,spiny07,6393,2024-11-09T15:07:14Z
198,ReallyBadDK,6399,2023-06-11T09:16:43Z
198,oatslice,6399,2024-08-04T22:20:06Z
200,xWicko,6402,2025-06-22T13:42:54Z
201,Seceon,6404,2025-09-11T05:25:05Z
202,pobo,6411,
203,CapruSin,6412,2024-03-23T12:46:22Z
203,druz,6412,2025-09-05T19:56:50Z
205,spener1122,6413,2023-02-24T01:01:53Z
206,Unknown1470,6414,2022-01-12T18:13:34Z
207,watapachi67,6416,2020-09-03T11:50:34Z
207,FlamingFishsticks,6416,2025-09-15T06:48:52Z
209,Keubab,6418,2025-06-01T00:04:42Z
210,Tit0MEX_64,6419,2024-02-25T01:38:52Z
210,Autonachick,6419,2025-10-27T22:27:00Z
212,Fuzzyness,6422,2020-07-29T17:02:04Z
213,trevor107,6424,2016-07-01T05:04:25Z
213,Shy,6424,2017-02-28T04:55:27Z
215,egaSyeliR,6427,2022-06-01T04:36:08Z
216,manxmud,6435,2022-07-22T06:11:34Z
218,AJLane,6437,2024-08-04T08:42:36Z
219,Marco,6446,2022-02-27T06:29:43Z
220,peta,6447,2021-04-08T12:46:12Z
221,Muimania,6451,2022-08-10T01:41:45Z
222,Bombs,6453,2025-08-13T21:31:04Z
223,popesquidward,6460,2021-12-27T16:43:51Z
223,Lemoniau,6460,2025-04-16T21:14:06Z
225,JDee,6461,2023-07-08T10:54:02Z
225,LowAppeal,6461,2025-10-21T17:35:16Z
227,pete,6462,2023-11-04T22:15:51Z
228,ThatDrunkenDwarf,6463,2021-08-31T07:31:46Z
229,m0m0,6466,2019-04-04T15:54:34Z
229,Menstilo,6466,2022-06-07T07:24:25Z
232,smc_,6471,2023-07-21T17:26:40Z
232,Majora_AG,6471,2024-07-30T22:04:39Z
234,Toufool,6472,
