Place,Player,Time (seconds),Date Submitted
1,Suigi,416.07,2025-03-06T10:09:33Z
2,Parsee02,419.41,2025-07-22T10:45:45Z
3,Poke,422.98,2025-03-04T04:13:41Z
4,Weegee,423.32,2024-12-01T18:34:11Z
5,Tag609,423.96,2023-06-10T00:59:43Z
6,ZUMMI,424.0,2025-07-18T17:19:16Z
7,MmaARriOy_,425.09,2025-08-24T09:07:05Z
8,Banova8,425.3,2025-07-20T03:09:26Z
9,treybordo,425.5,2025-06-06T00:39:18Z
10,cjrokokomero,426.0,2024-01-11T00:26:45Z
11,KETSUMANKO,427.32,2021-12-08T13:57:56Z
12,Nils,431.83,2022-12-14T21:31:32Z
13,Dowsky,431.93,2020-09-21T09:08:41Z
14,DuckTapeDuck,434.0,2024-04-17T15:00:21Z
15,darkdog47,434.33,2025-08-18T07:27:59Z
16,Raisn,436.0,2023-04-21T19:09:44Z
16,Sunnard,436.0,2025-03-11T13:20:21Z
18,Finnii602,438.0,2022-07-08T16:53:37Z
19,spener1122,439.63,2023-04-05T05:25:49Z
20,NotGorilla,441.0,2024-09-07T08:20:38Z
21,Majoog,441.46,2024-07-12T14:44:40Z
22,Xiah,441.57,2016-09-18T16:55:30Z
23,xandrey,442.33,2023-07-04T04:15:27Z
24,xWicko,442.36,2025-08-17T04:21:51Z
25,turara32767,442.8,2025-11-19T12:28:03Z
26,Zhilkan,443.0,2022-07-15T10:12:05Z
26,MrDasho,443.0,2023-06-13T01:48:28Z
28,ShaDowSPoweR,444.0,2023-02-20T16:22:56Z
29,Kinosura,444.55,2025-07-04T12:16:27Z
30,RetroTorpedo,445.0,2024-06-02T21:05:01Z
31,Ian_1243,445.88,2025-09-14T23:04:40Z
32,FailmanFlo,446.01,2023-12-08T02:58:25Z
34,dumpdome64,447.0,2024-06-29T01:58:30Z
35,Xein64,447.91,2023-06-09T02:39:38Z
36,TriforceTK,448.0,2020-03-12T16:56:55Z
36,Mauir,448.0,2024-07-12T05:12:07Z
36,BigCheese,448.0,2024-07-13T07:43:11Z
39,phyxius6,448.43,2023-04-02T00:53:47Z
40,lunarjump,448.44,2020-10-23T08:51:53Z
41,akki,448.78,2018-12-05T22:18:36Z
42,Kaylee_,449.78,2025-09-08T11:02:58Z
43,oatslice,450.68,2023-08-12T03:21:51Z
44,Thomkar,451.0,2019-11-17T00:33:22Z
45,Avatar,451.2,2025-02-01T15:02:01Z
46,lerrythelobtser,451.43,2023-04-23T17:57:37Z
47,Jfox,451.63,2023-11-13T06:59:42Z
48,BenedictFleur123,452.0,2025-02-20T23:16:33Z
49,Karin,452.45,2021-12-08T14:31:42Z
50,Carlo64,452.53,2025-05-09T01:20:13Z
51,Kaimatix,452.93,2023-02-26T21:30:14Z
52,CapruSin,453.0,2024-07-10T00:14:14Z
53,PhoenixAUS,453.01,2024-03-20T10:19:46Z
54,GTM,453.19,2021-10-27T22:20:00Z
55,MW_65536,453.6,2025-02-21T10:58:21Z
55,Kudo,453.6,2025-07-14T01:52:15Z
57,zMatt_,453.61,2024-02-06T18:52:46Z
58,GrievousD2,453.7,2025-09-09T06:23:32Z
59,Vadien,453.96,2025-09-06T21:31:54Z
60,JumboJolt,454.0,2024-06-03T20:00:47Z
61,Benji64,454.03,2021-09-15T21:07:37Z
62,Nicolascs83,454.26,2024-07-10T20:36:43Z
63,jaquarium,454.88,2025-11-26T22:36:39Z
64,fattylugia,455.0,2024-06-08T04:40:55Z
65,saksdal,455.05,2023-03-28T02:13:59Z
66,Kally,455.52,2023-06-06T04:23:16Z
67,piegolds,456.0,2024-08-01T09:02:57Z
67,sanj,456.0,2024-08-03T06:18:15Z
69,Slipperynip,456.15,2021-09-10T01:06:27Z
69,vitroncio,456.15,2024-08-21T15:03:55Z
