Place,Player,Time (seconds),Date Submitted
131,mishrak109,45.99,2016-12-11T06:05:16Z
131,Alex_B,45.99,2019-11-12T05:33:08Z
131,jc_walk,45.99,2025-10-15T17:09:31Z
134,Dyceron,45.98,2016-12-11T06:06:11Z
135,Skinomarsh,45.97,2019-12-03T15:42:55Z
137,Sapphron,45.96,2020-11-26T19:15:31Z
137,Feco,45.96,2025-01-13T23:59:10Z
139,lioran,45.93,2016-12-11T06:09:55Z
140,benlake412,45.9,2016-12-11T06:10:45Z
141,PSIcoh,45.88,2016-12-11T06:12:41Z
143,Longneckturtle,45.86,2016-12-19T04:05:45Z
143,v1ncelol,45.86,2021-04-05T23:47:20Z
145,Avijobat,45.85,2018-05-31T04:21:43Z
147,Metroid_Gameplays,45.84,2023-10-30T00:04:40Z
149,Kanzeon,45.83,2016-12-11T06:16:20Z
150,kevnastics,45.8,2025-06-16T11:56:49Z
151,Zeb316,45.79,2019-07-15T18:00:18Z
152,Thorneto,45.78,2019-12-31T01:18:51Z
152,Glaucio_Souza,45.78,2022-10-09T23:50:47Z
154,denis1080,45.69,2016-12-11T06:16:50Z
154,vince_vegeta,45.69,2016-12-11T06:17:16Z
154,InNoRush,45.69,2017-11-21T13:27:22Z
154,LaBrosse,45.69,2022-10-25T02:52:30Z
158,phatscott25,45.68,2021-07-19T04:35:33Z
159,fruitbatsalad,45.67,2019-11-14T23:01:43Z
159,Tilimorf,45.67,2021-11-25T17:09:35Z
163,zachwhack,45.65,2019-06-25T04:19:07Z
164,CrustaceanSeven,45.64,2023-12-05T19:10:09Z
165,plasma_enhanced,45.61,2020-02-11T21:33:49Z
169,Nighty93,45.57,2018-08-20T17:54:49Z
169,RyanLockwood,45.57,2016-12-11T06:21:47Z
173,UNHchabo,45.56,2019-12-29T11:00:47Z
173,Natan_Anile,45.56,2022-03-31T20:50:54Z
175,CLAPION,45.55,2016-12-11T06:22:33Z
176,Daisley,45.53,2017-10-20T03:53:00Z
181,whitemagebecky,45.48,2016-12-11T06:25:37Z
183,mechashiva76,45.38,2016-12-11T06:26:58Z
184,Peteza34,45.34,2019-05-08T16:25:31Z
186,Cubeface,45.29,2016-12-11T06:28:44Z
188,Oneiam82,45.28,2022-05-05T23:13:16Z
189,Rumbleminze,45.26,2017-03-06T02:49:30Z
192,ChTPwner,45.23,2023-06-29T06:43:14Z
195,Komaru,45.2,2020-06-11T02:00:50Z
196,beeps,45.19,2017-07-06T06:34:38Z
198,Zetsu,45.17,2017-11-13T17:37:59Z
199,DLH112,45.12,2016-12-11T06:31:29Z
200,Lei,45.11,2018-06-10T17:42:48Z
202,wladiyeah,45.1,2025-10-05T05:17:27Z
203,einbert,45.07,2016-12-11T06:36:02Z
204,saberkok,45.05,2016-12-11T06:39:03Z
205,64bit_link,45.04,2020-04-25T06:04:29Z
207,KcycAran,45.025,2019-08-13T17:37:08Z
208,Triddy243,45.02,2016-12-11T06:39:49Z
209,Gameaholic2D,45.01,2024-02-27T10:05:30Z
210,crossproduct,45.0,2016-12-11T06:40:32Z
211,WalrusBJJ,44.99,2018-12-16T18:24:38Z
213,marshmakie,44.96,2023-07-13T01:48:47Z
214,Manik33,44.91,2022-03-27T19:42:32Z
217,Absolome,44.8,2017-02-18T20:55:46Z
218,SapphireRyoko,44.68,2016-12-11T06:45:15Z
218,GGDuane,44.68,2018-05-09T08:35:04Z
221,Shenjoku,44.62,2016-12-11T06:47:31Z
222,DJToneRI,44.6,2016-12-11T06:48:32Z
222,dasr12,44.6,2024-11-28T01:56:05Z
225,Metroll,44.5,2025-11-26T02:56:13Z
226,Ujhafsuy,44.47,2024-08-25T04:02:26Z
232,tewfus,44.37,2017-11-05T23:00:38Z
232,MystiiAura,44.37,2024-01-13T03:52:09Z
235,IsaacSin,44.33,2016-12-11T06:54:54Z
236,TheSquirrelNestHH,44.3,2021-11-01T21:19:08Z
238,MrDdraig,44.16,2018-07-03T17:21:21Z
239,Akiia,44.06,2021-07-14T20:15:07Z
240,SFFIRESTORM33,44.04,2016-12-11T06:56:35Z
240,JoeDamillio,44.04,2016-12-11T06:56:56Z
243,Jaychalke,44.005,2018-11-02T22:14:36Z
245,Psykopup,43.97,2022-11-03T12:44:56Z
247,xzombae,43.79,2022-10-27T02:02:56Z
249,ellisdeez,43.52,2017-07-21T03:02:52Z
250,MASTER88comeback,43.46,2021-04-02T10:20:00Z
251,Frydi,43.42,2021-04-11T10:38:00Z
253,LandedDragoon35,43.07,2025-09-17T21:19:41Z
254,123jrf,43.01,2019-03-23T02:03:12Z
255,jethawk69,42.95,2022-11-13T06:16:42Z
