Place,Player,Time (seconds),Date Submitted
1,Suigi,375.1,2025-03-08T10:49:19Z
2,Parsee02,379.14,2025-06-07T14:30:24Z
3,cjrokokomero,384.08,2025-11-20T20:47:06Z
4,ZUMMI,385.0,2025-07-18T18:02:33Z
5,DuckTapeDuck,386.0,2024-10-21T11:26:05Z
6,MmaARriOy_,387.1,2025-11-22T09:47:15Z
7,KETSUMANKO,387.38,2022-02-12T20:34:19Z
8,Poke,390.02,2025-06-16T00:12:26Z
9,treybordo,390.7,2025-06-19T07:37:45Z
10,Dowsky,392.15,2020-09-19T08:25:25Z
11,Tag609,393.1,2023-10-26T00:53:17Z
12,Banova8,395.03,2025-07-10T23:05:39Z
13,darkdog47,395.12,2025-08-15T22:43:12Z
14,Kinosura,395.35,2025-09-26T19:51:39Z
15,Majoog,400.45,2024-05-13T14:29:08Z
16,NotGorilla,401.0,2024-08-24T10:15:39Z
17,Raisn,403.9,2024-01-19T02:59:26Z
18,Ian_1243,404.0,2025-08-09T04:24:59Z
20,Weegee,404.6,2024-12-25T19:01:37Z
21,Xiah,404.7,2016-10-25T19:03:39Z
22,JumboJolt,405.0,2025-08-03T02:16:48Z
23,wara,405.67,2022-08-17T05:40:11Z
24,xWicko,406.4,2024-08-03T12:44:00Z
25,TriforceTK,408.0,2020-03-31T00:27:14Z
25,taihou,408.0,2020-09-17T07:21:59Z
25,Zhilkan,408.0,2023-08-04T09:13:52Z
28,nobori56,408.4,2022-08-28T16:25:19Z
29,Miton,409.57,2023-10-21T09:38:26Z
30,turara32767,409.92,2025-03-11T13:00:35Z
31,Xein64,410.17,2022-03-10T23:43:58Z
32,Everchix,411.13,2025-03-18T20:19:40Z
33,asandal,412.05,2023-08-29T08:36:22Z
34,saksdal,412.31,2022-07-31T22:11:20Z
35,Louis64,412.64,2025-05-01T19:31:36Z
36,CyanogenSm64,413.0,2023-05-02T08:41:00Z
36,Sunnard,413.0,2023-07-30T16:58:33Z
38,Nils,413.05,2023-03-13T22:57:47Z
39,Nicolascs83,413.83,2023-06-11T23:16:22Z
40,Vadien,413.93,2025-09-15T05:25:25Z
41,kiliaaan,414.0,2022-03-25T17:49:38Z
42,lerrythelobtser,414.46,2025-09-14T21:22:41Z
43,GrievousD2,415.43,2025-09-12T06:54:05Z
44,Kaimatix,415.56,2023-04-21T18:41:58Z
45,dekitan,415.76,2025-03-04T10:10:57Z
46,Mauir,415.96,2025-09-14T03:04:43Z
47,gohanie,415.98,2016-11-14T01:13:01Z
48,RetroTorpedo,416.0,2024-06-02T21:07:34Z
49,Thomkar,417.11,2022-06-19T19:53:51Z
50,Finnii602,418.0,2021-01-03T20:50:58Z
50,piegolds,418.0,2023-08-07T05:39:16Z
50,PhoenixAUS,418.0,2023-10-20T22:56:05Z
50,Nonag,418.0,2024-04-27T12:07:19Z
54,Linkarf,418.76,2024-09-01T01:31:24Z
55,tami,419.05,2021-05-22T04:46:11Z
56,Karin,419.08,2022-07-31T21:44:30Z
57,spener1122,419.16,2022-12-20T01:18:39Z
58,oatslice,419.68,2023-10-15T06:24:41Z
59,Burnito,420.0,2022-10-15T18:53:52Z
59,ShaDowSPoweR,420.0,2023-01-12T20:35:33Z
61,BenedictFleur123,421.0,2023-04-16T22:14:24Z
61,ADRki11er,421.0,2025-06-17T04:29:03Z
63,BigCheese,423.0,2025-08-11T01:22:09Z
